 이용건수,이동거리(M),이용시간(분),고장구분,cluster,pca_x,pca_y
38027,87507539.83,793716,129,2,-209547802.25250345,-55219.98005065883
56594,104868820.74,964780,349,2,-192185695.6884907,-27019.92243732075
61240,112743523.75,1050410,351,2,-184310553.17581102,-6286.238696069927
67705,128293764.73,1178719,303,2,-168759781.5496632,-6181.760880495803
68697,131428798.16,1201357,329,2,-165624667.8785206,-9397.273420003006
63109,118660487.82,1116051,281,2,-178393248.7049472,10551.755104061283
42485,83079095.72,814062,88,2,-213975926.24438712,1773.1904896690755
44610,98623972.04,899709,137,2,-198430872.37030622,-40833.067957981635
74132,145331183.88,1330636,274,2,-151721687.74237177,5249.488845748451
80600,162418880.4,1480164,328,1,-134633337.96329626,13878.676485705566
81986,165407646.17,1519343,292,1,-131644350.43747538,28415.291282218
87593,184663000.77,1668604,342,1,-112388418.89934936,18868.6648467978
20790,39167536.17,403542,34,2,-257889382.84972468,-46785.146520202485
25896,51920046.92,501863,82,2,-245136493.91638964,-53605.18265251686
21414,42951189.29,406562,148,2,-254105833.47666627,-74973.5143255188
61309,110715041.34,1034032,1094,2,-186339101.53043967,-5917.883361462968
67334,123627933.65,1155248,707,2,-173425647.39195418,8848.588701244611
71357,136180598.04,1262326,483,2,-160872526.17060468,12404.872297406873
68357,128312536.21,1211471,374,2,-168740740.41007942,26420.316980299816
51397,90541317.99,904859,345,2,-206513206.36138558,31181.626671061043
30226,63659793.54,603368,153,2,-233396308.62937883,-48904.18349282025
22752,55314649.8,470808,78,2,-241742263.80384195,-112739.8496163746
30880,75008724.77,652327,88,2,-222047359.97530377,-93597.33427411263
15265,23654843.03,242063,85,2,-273402881.11768407,-80334.85630601092
38328,61566168.9,621442,351,2,-235489710.16288587,-13358.92479157877
24339,40608098.06,413976,132,2,-256448782.7723644,-48154.30730079069
40220,65726520.88,664138,278,2,-231329147.15475288,-4961.926237867236
35889,67388206.73,655425,219,2,-229667591.22291708,-27491.558263799758
38345,84945464.09,772350,179,2,-212109966.8116583,-55428.49953273124
65611,131129663.07,1186771,325,2,-165923914.11031285,-21586.30679192012
74828,153259345.78,1382527,328,2,-143793367.72224486,-8283.354481003402
72474,142950764.79,1294242,226,2,-154102326.43456978,-11529.905486802403
70751,135393683.91,1230354,387,2,-161659677.35129791,-13077.598889900073
72688,143418588.57,1299160,329,2,-153634477.96019828,-10468.777209079815
57937,131471071.8,1209496,213,2,-165582332.23112276,-1876.5543173262035
53806,131945223.42,1184977,182,2,-165108400.35423297,-30402.27641001222
81304,170963896.65,1524099,396,1,-126088250.20519283,-12697.551578819459
86525,180017135.7,1605731,290,1,-117034644.56297311,-5671.557274342543
86845,181707214.83,1620079,311,1,-115344504.56913187,-5267.09720835773
89610,190961329.6,1683115,356,1,-106090184.22994854,-18549.262167817742
68843,145869162.87,1360649,213,2,-151183481.38725203,30681.757546427038
70622,171407291.06,1562574,203,1,-125644557.26864141,21840.69445138642
60691,154584840.5,1368436,188,2,-142468039.16074118,-33657.91321738751
91949,201190987.08,1764281,381,1,-95860205.04891706,-21768.372123238627
89966,191431860.56,1685295,344,1,-105619651.19736052,-20244.01568967062
94660,205821931.73,1796899,392,1,-91229148.22316147,-27308.983046130907
87392,180705262.77,1574051,337,1,-116346801.87023237,-42997.704142313814
95470,208338989.05,1855481,339,1,-88711693.2790813,10502.28657390648
72418,169245632.89,1507781,232,1,-127806593.03405415,-15051.044938344918
57599,147862765.28,1289414,176,2,-149190538.11943513,-57258.85098230087
75723,150344281.52,1333026,232,2,-146708740.58714688,-33690.09876880721
81583,164880408.92,1458558,370,1,-132172071.1079322,-28008.184528735455
90320,190623393.44,1674953,330,1,-106428175.94332847,-23902.222879501864
94716,205412286.03,1813228,339,1,-91638645.3017765,-7603.758399872083
92585,197606754.17,1744248,311,1,-99444480.86529602,-12201.594923868493
68020,160864786.73,1434632,199,1,-136187758.45440793,-19125.134293138766
66857,186330213.21,1628138,214,1,-110721603.99654457,-35855.30111330293
97891,224585010.31,1948711,383,1,-72465455.71334188,-30302.08835385152
102195,226838657.71,1976134,338,1,-70211657.46758224,-21378.930490020903
79637,210699429.69,1837305,237,1,-86351488.30902515,-27538.310705898213
95447,201221665.22,1742617,335,1,-95829705.40513709,-43591.4442000663
107213,238654266.27,2055968,393,1,-58395791.29119326,-38950.500287393836
97285,268083414.55,2362484,309,1,-28965121.12420154,24364.82532572282
95137,287301005.62,2498517,336,1,-9747063.552960545,1714.1465337692537
121402,294123704.22,2439201,496,3,-2925077.4922855194,-113231.76948360246
132492,324294889.43,2696374,528,3,27247204.609385908,-104845.0296220966
126426,286881916.43,2418459,458,1,-10166787.970964361,-74082.77198569651
109298,245898085.56,2109825,379,1,-51151773.88859831,-44836.37630109487
138821,348951441.42,3000181,475,3,51905424.23357707,-4451.302817154233
129565,399943041.4,3524722,461,3,102899609.81722137,98897.40736782322
40919,96088152.26,822973,110,2,-200967239.8173943,-96708.71178794255
103766,219029958.29,1895506,440,1,-78020755.27182949,-37502.91222994894
130018,306582681.55,2594093,487,3,9534755.705193106,-60990.872436436046
123016,273317337.01,2283336,419,1,-23732020.812172595,-97308.9367494137
118550,257634827.09,2167687,498,1,-39414951.796342924,-83616.70768783397
128102,296128698.57,2513690,516,3,-919534.8997611185,-55147.402242778706
114611,325412295.95,2853336,324,3,28365861.30331018,42399.41112487574
110627,340197909.12,2943054,320,3,43151709.37370248,9976.824219896593
131589,310411351.28,2597816,511,3,13363326.274794944,-88824.48522620201
150431,381994147.84,3149124,540,3,84948237.44836242,-127940.61117672393
154549,394514334.2,3237509,603,3,97468727.63405938,-142800.59678325328
146754,361756212.99,3017674,532,3,64709906.654177405,-92432.95627972257
149032,357965498.18,3026909,529,3,60919397.87704025,-51863.5807486539
136959,407978885.72,3580575,385,3,110935643.54401146,88602.61597717246
121287,393090351.21,3418279,381,3,96046272.4525835,48834.141654651554
137984,325385397.91,2723189,554,3,28337898.94054868,-86901.97422709716
151848,368697902.23,3087547,614,3,71651937.39215457,-79740.5441948395
161393,405274281.19,3390605,660,3,108229572.942875,-78378.56536509245
167431,430847165.12,3592908,637,0,133803256.18657207,-87023.01126856265
173889,459005243.31,3963024,596,0,161963429.5915939,50765.60775419404
171977,558038577.56,5101395,504,0,261002777.4601694,371475.3263089543
172415,603315025.4,5450871,563,0,306280565.2489528,347220.58776432613
181273,502383540.65,4159276,789,0,205341870.39332655,-110825.12821579618
136858,326753333.31,2713376,589,3,29705706.44878153,-108027.76918750568
23103,44287450.92,415242,66,2,-252769545.20498347,-77281.47771022585
62142,120401783.96,1093081,187,2,-176652201.61258826,-26803.586956984935
140639,326805507.49,2842921,550,3,29758948.382833928,21136.19280846755
131981,372328072.88,3325084,478,3,75283936.3901189,127266.79148321321
131331,416537958.42,3641771,411,3,119494927.45101193,79008.57977273998
163117,409428202.1,3387208,759,3,112383324.95507427,-116009.94054750445
105353,217271929.35,1755193,386,1,-79779880.83257078,-163221.40630560147
143616,307295431.93,2632622,593,3,10247804.16011487,-28019.656904222727
148978,328486038.83,2776402,583,3,31438876.807226013,-59021.23169040013
167786,410876543.91,3500352,651,3,113832552.02685593,-14740.581624953431
97305,256718527.64,2211834,265,1,-40330863.24032195,-32449.951641339634
112186,308912212.37,2653545,382,3,11864691.355516346,-21224.429395034065
160890,387039114.04,3206246,671,3,89993506.42732733,-112210.08478729683
106063,269695140.98,2274170,419,1,-27354174.840673063,-77001.50607340653
180746,477890226.16,3918794,695,0,180847406.87204212,-149118.70487769946
150792,354354851.95,2943667,601,3,57308188.79524837,-105238.42235943158
177949,454552467.9,3831215,704,0,157509720.30617183,-44153.39252172948
158022,469929785.76,4109977,536,0,172888806.35708642,107125.64694970679
140444,439138156.0,3717458,485,0,142094982.54692855,-31601.780023144194
