자전거번호,등록일시,구분
SPB-62819,2023-01-01 0:01,안장
SPB-62819,2023-01-01 0:01,페달
SPB-32382,2023-01-01 0:24,타이어 
SPB-81126,2023-01-01 1:20,단말기
SPB-45763,2023-01-01 1:49,체인
SPB-65315,2023-01-01 2:20,안장
SPB-32055,2023-01-01 2:47,타이어 
SPB-44220,2023-01-01 3:08,체인
SPB-51062,2023-01-01 4:39,타이어 
SPB-47709,2023-01-01 4:54,타이어 
SPB-41891,2023-01-01 5:17,체인
SPB-59186,2023-01-01 5:38,기타 
SPB-49495,2023-01-01 6:20,체인
SPB-64229,2023-01-01 7:01,안장
SPB-59659,2023-01-01 7:17,단말기
SPB-46576,2023-01-01 7:44,체인
SPB-46576,2023-01-01 7:44,안장
SPB-46576,2023-01-01 7:44,기타 
SPB-48491,2023-01-01 8:40,기타 
SPB-63985,2023-01-01 9:05,체인
SPB-52715,2023-01-01 9:23,타이어 
SPB-36299,2023-01-01 9:40,단말기
SPB-33289,2023-01-01 9:43,타이어 
SPB-33289,2023-01-01 9:43,체인
SPB-63626,2023-01-01 9:46,기타 
SPB-34231,2023-01-01 9:56,페달
SPB-60279,2023-01-01 10:43,타이어 
SPB-47491,2023-01-01 10:48,안장
SPB-41711,2023-01-01 10:50,타이어 
SPB-41711,2023-01-01 10:50,페달
SPB-41711,2023-01-01 10:50,기타 
SPB-59241,2023-01-01 10:53,단말기
SPB-59241,2023-01-01 10:53,기타 
SPB-57682,2023-01-01 10:53,단말기
SPB-57682,2023-01-01 10:53,기타 
SPB-56880,2023-01-01 11:01,안장
SPB-37991,2023-01-01 11:20,안장
SPB-33096,2023-01-01 11:54,체인
SPB-48675,2023-01-01 12:13,기타 
SPB-49094,2023-01-01 12:15,타이어 
SPB-51351,2023-01-01 12:39,체인
SPB-33556,2023-01-01 12:40,체인
SPB-58150,2023-01-01 12:58,페달
SPB-64630,2023-01-01 13:01,안장
SPB-65201,2023-01-01 13:01,기타 
SPB-64976,2023-01-01 13:02,안장
SPB-65143,2023-01-01 13:08,안장
SPB-64631,2023-01-01 13:15,안장
SPB-42597,2023-01-01 13:19,안장
SPB-56380,2023-01-01 13:31,기타 
SPB-48928,2023-01-01 13:58,기타 
SPB-30551,2023-01-01 14:00,체인
SPB-30551,2023-01-01 14:00,단말기
SPB-30551,2023-01-01 14:00,기타 
SPB-44370,2023-01-01 14:05,기타 
SPB-56879,2023-01-01 14:35,안장
SPB-48758,2023-01-01 14:39,안장
SPB-32252,2023-01-01 14:45,타이어 
SPB-32252,2023-01-01 14:45,체인
SPB-39585,2023-01-01 14:45,체인
SPB-39585,2023-01-01 14:45,안장
SPB-65563,2023-01-01 14:52,안장
SPB-52326,2023-01-01 14:55,안장
SPB-36795,2023-01-01 14:58,체인
SPB-40886,2023-01-01 15:01,기타 
SPB-30763,2023-01-01 15:04,타이어 
SPB-46746,2023-01-01 15:21,기타 
