가입일자,사용자코드,연령대코드,성별,가입 수
2023-01-01,회원-내국인,10대,F,21
2023-01-01,회원-내국인,10대,F,4
2023-01-01,회원-내국인,10대,M,70
2023-01-01,회원-내국인,10대,M,3
2023-01-01,회원-내국인,20대,F,91
2023-01-01,회원-내국인,20대,F,11
2023-01-01,회원-내국인,20대,M,95
2023-01-01,회원-내국인,20대,M,13
2023-01-01,회원-내국인,30대,F,37
2023-01-01,회원-내국인,30대,F,8
2023-01-01,회원-내국인,30대,M,45
2023-01-01,회원-내국인,30대,M,7
2023-01-01,회원-내국인,40대,F,30
2023-01-01,회원-내국인,40대,F,11
2023-01-01,회원-내국인,40대,M,45
2023-01-01,회원-내국인,40대,M,18
2023-01-01,회원-내국인,50대,F,11
2023-01-01,회원-내국인,50대,F,5
2023-01-01,회원-내국인,50대,M,28
2023-01-01,회원-내국인,50대,M,21
2023-01-01,회원-내국인,60대,F,4
2023-01-01,회원-내국인,60대,F,3
2023-01-01,회원-내국인,60대,M,8
2023-01-01,회원-내국인,60대,M,6
2023-01-01,회원-내국인,70대이상,F,1
2023-01-01,회원-내국인,70대이상,M,2
2023-01-02,회원-내국인,10대,F,20
2023-01-02,회원-내국인,10대,F,9
2023-01-02,회원-내국인,10대,M,46
2023-01-02,회원-내국인,10대,M,6
2023-01-02,회원-내국인,20대,F,44
2023-01-02,회원-내국인,20대,F,11
2023-01-02,회원-내국인,20대,M,68
2023-01-02,회원-내국인,20대,M,6
2023-01-02,회원-내국인,30대,F,26
2023-01-02,회원-내국인,30대,F,7
2023-01-02,회원-내국인,30대,M,38
2023-01-02,회원-내국인,30대,M,8
2023-01-02,회원-내국인,40대,F,13
2023-01-02,회원-내국인,40대,F,6
2023-01-02,회원-내국인,40대,M,36
2023-01-02,회원-내국인,40대,M,13
2023-01-02,회원-내국인,50대,F,9
2023-01-02,회원-내국인,50대,F,5
2023-01-02,회원-내국인,50대,M,11
2023-01-02,회원-내국인,50대,M,13
2023-01-02,회원-내국인,60대,F,2
2023-01-02,회원-내국인,60대,M,6
2023-01-02,회원-내국인,60대,M,6
2023-01-02,회원-내국인,70대이상,F,1
2023-01-02,회원-내국인,70대이상,M,1
2023-01-03,회원-내국인,10대,F,25
2023-01-03,회원-내국인,10대,F,9
2023-01-03,회원-내국인,10대,M,24
2023-01-03,회원-내국인,10대,M,5
2023-01-03,회원-내국인,20대,F,36
2023-01-03,회원-내국인,20대,F,19
2023-01-03,회원-내국인,20대,M,45
2023-01-03,회원-내국인,20대,M,11
2023-01-03,회원-내국인,30대,F,25
2023-01-03,회원-내국인,30대,F,8
2023-01-03,회원-내국인,30대,M,32
2023-01-03,회원-내국인,30대,M,6
2023-01-03,회원-내국인,40대,F,22
2023-01-03,회원-내국인,40대,F,7
2023-01-03,회원-내국인,40대,M,29
2023-01-03,회원-내국인,40대,M,13
2023-01-03,회원-내국인,50대,F,8
2023-01-03,회원-내국인,50대,F,10
2023-01-03,회원-내국인,50대,M,14
