일시,대여소,대여건수,반납건수
2023-01-01,"1153. 발산역 1번, 9번 인근 대여소",1,0
2023-01-01,302. 경복궁역 4번출구 뒤,2,0
2023-01-01,321. KEB 하나금융그룹 명동사옥 옆,2,2
2023-01-01,393. 동대문역 8번 출구,0,2
2023-01-01,322. 명동성당 앞,4,2
2023-01-01,428. 명보사거리,3,1
2023-01-01,2608. 송파구청,2,0
2023-01-01,2621. 한성백제역 2번 출구,0,1
2023-01-01,3410.종로3가역 8번출구,7,7
2023-01-01,144. 공덕역 8번출구,0,1
2023-01-01,2919.등나무 근린공원(시립북서울미술관 앞) ,1,0
2023-01-01,857. 현대 안성타워,3,0
2023-01-01,170. DMC파크뷰자이아파트 302동 앞,3,3
2023-01-01,3569.건대병원후문,1,1
2023-01-01,179. 가좌역 4번출구 앞,1,0
2023-01-01,518. 청계천 박물관 앞,3,3
2023-01-01,4765. 동대문디자인플라자,0,2
2023-01-01,4623. 라인프랜즈이태원점 앞,2,0
2023-01-01,4761. 중부경찰서앞사거리 건너편,0,1
2023-01-01,4784. 중부경찰서앞 사거리,0,1
2023-01-01,4464. 올림픽공원 북2문,1,2
2023-01-01,4792. 퇴계로4가 교차로(중구청),3,3
2023-01-01,4580. 국회3문,2,0
2023-01-01,4029. 청소년수련관 후문,0,1
2023-01-01,4564. 63스퀘어,0,4
2023-01-01,4217. 한강공원 망원나들목,3,3
2023-01-01,249. 여의도중학교 옆,19,15
2023-01-01,4634. 이태원역 3번 출구,0,3
2023-01-01,140. 이화여대 후문,1,0
2023-01-01,825. 서빙고동 주민센터 앞,1,1
2023-01-01,204. 국회의사당역 5번출구 옆,0,2
2023-01-01,1222. 잠실새내역 5번 출구 뒤,0,2
2023-01-01,207. 여의나루역 1번출구 앞,0,2
2023-01-01,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",2,2
2023-01-01,2262. 한신16차아파트 119동 앞,1,0
2023-01-01,1149. 신방화역환승주차장,0,1
2023-01-02,"1153. 발산역 1번, 9번 인근 대여소",1,0
2023-01-02,1162. 공항초등학교건너편,1,1
2023-01-02,314. 국립현대미술관,1,0
2023-01-02,322. 명동성당 앞,2,0
2023-01-02,326. 안국역 5번출구 앞,0,2
2023-01-02,466.롯데호텔,0,2
2023-01-02,369. 광화문 시민열린마당,0,1
2023-01-02,299.여의도 순복음교회,0,1
2023-01-02,857. 현대 안성타워,1,0
2023-01-02,3544.한양대역 3번 출구,0,1
2023-01-02,4761. 중부경찰서앞사거리 건너편,0,1
2023-01-02,4778. 대신파이낸스센터,1,1
2023-01-02,4784. 중부경찰서앞 사거리,3,0
2023-01-02,4792. 퇴계로4가 교차로(중구청),1,1
2023-01-02,4796. 부산은행,2,2
