"일시","대여소명","대여건수","반납건수"
"2023-07-01","108. 서교동 사거리","0","7"
"2023-07-01","510. 뚝도아리수정수센터 버스정류소 옆","2","0"
"2023-07-01","511. 서울숲역 5번 출구 옆","1","1"
"2023-07-01","1268. 몽촌토성역 1번출구 옆","1","1"
"2023-07-01","109. 제일빌딩 앞","1","0"
"2023-07-01","1643. 태릉입구역 8번출구","1","1"
"2023-07-01","2269. 주홍교 하부","2","2"
"2023-07-01","2362. 신사동 가로수길 입구","0","3"
"2023-07-01","2364. 도산공원교차로","2","0"
"2023-07-01","302. 경복궁역 4번출구 뒤","3","3"
"2023-07-01","3102. 연희삼거리","2","0"
"2023-07-01","3511. 응봉역 1번출구","2","2"
"2023-07-01","3513. 상왕십리역 1번출구","0","1"
"2023-07-01","3515. 서울숲 관리사무소","4","3"
"2023-07-01","115. 마스타 빌딩 앞","0","1"
"2023-07-01","310. 청계광장 옆","0","1"
"2023-07-01","2170. 조원동 강남힐병원","2","0"
"2023-07-01","2174. 삼성디지털프라자관악점","0","2"
"2023-07-01","1849. 대륭포스트타워5차","1","0"
"2023-07-01","646. 장한평역 1번출구","0","1"
"2023-07-01","314. 국립현대미술관","1","0"
"2023-07-01","2285. LH서초3단지 301동 맞은편","3","3"
"2023-07-01","316. 종각역 1번출구 앞","0","1"
"2023-07-01","276. 영등포로터리2","0","1"
"2023-07-01","828. 숙대입구역 8번","1","0"
"2023-07-01","829. 한강대교 북단 교차로","3","1"
"2023-07-01","835. 남영역 건너편","0","1"
"2023-07-01","836. 현대자동차서비스 앞","1","0"
"2023-07-01","1355. 보문2교","2","2"
"2023-07-01","320. 을지로입구역 4번출구 앞","0","2"
"2023-07-01","393. 동대문역 8번 출구","3","3"
"2023-07-01","322. 명동성당 앞","1","0"
"2023-07-01","427. 성산시영아파트","1","1"
"2023-07-01","398. 을지로3가역 3번출구","2","3"
"2023-07-01","843. 이태원관광특구B(용산구청쪽)","1","0"
"2023-07-01","329. 청계2가 사거리 옆","0","2"
"2023-07-01","332. 을지로2가 사거리 남측","0","1"
"2023-07-01","111. 상수역 2번출구 앞","2","0"
"2023-07-01","334. 종로3가역 2번출구 뒤","3","0"
"2023-07-01","336. 충무로역 6번출구 앞","0","6"
"2023-07-01","339. 종로4가 사거리","1","0"
"2023-07-01","2505. 우성아파트사거리 (기업은행앞)","1","0"
"2023-07-01","2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞)","0","1"
"2023-07-01","342. 대학로 마로니에공원","3","3"
"2023-07-01","1295. 잠실역 8번출구","0","2"
"2023-07-01","343. 힐스테이트창경궁 아파트 앞","1","1"
"2023-07-01","2601. 석촌호수 아뜰리에","1","1"
"2023-07-01","112. 극동방송국 앞","0","2"
"2023-07-01","453. 종로오가 지하쇼핑센터 14번출구","2","2"
"2023-07-01","458. 광화문역 5번출구","3","5"
"2023-07-01","3533. 건대입구역 사거리(롯데백화점)","1","0"
"2023-07-01","3534. 건대입구역 5번출구 뒤","0","1"
"2023-07-01","353. 재동초교 앞 삼거리","1","0"
"2023-07-01","3541. 커먼그라운드","0","1"
"2023-07-01","354. 포르투갈 대사관 앞","0","2"
"2023-07-01","293. 충북 미래관","1","0"
"2023-07-01","2622. 올림픽공원역 3번출구","4","4"
"2023-07-01","2511. 이수역 6번출구 앞","0","1"
"2023-07-01","359. 원남동사거리","1","2"
"2023-07-01","440. 하늘공원 입구","1","4"
"2023-07-01","2185. 대학동 고시촌","1","0"
"2023-07-01","664. 서울시립대 건설공학관","1","0"
"2023-07-01","445.대한상공회의소","1","1"
"2023-07-01","471.회현사거리 남측","1","0"
"2023-07-01","474.동대문역사문화공원역 1번출구 뒤편","3","0"
"2023-07-01","475.DDP 패션몰","3","0"
"2023-07-01","2645.잠실나들목2(엘스아파트136동)","1","0"
"2023-07-01","3407.안국동사거리(신)","2","3"
"2023-07-01","368. SK 서린빌딩 앞","1","0"
"2023-07-01","3413.종로플레이스","2","1"
"2023-07-01","3414.종로5가역 4번출구","2","3"
"2023-07-01","3415.동대문역6번출구","1","4"
"2023-07-01","3432.종로2가 사거리","0","1"
"2023-07-01","371. 동대입구역 6번출구 뒤","0","4"
"2023-07-01","2633.송파학사 옆","1","0"
"2023-07-01","2654.올림픽선수촌아파트 136동 앞","1","0"
"2023-07-01","2419.봉은사역 1,2번 출구 ","1","0"
"2023-07-01","2429.압구정로데오역 6번출구","2","0"
"2023-07-01","2523.뉴코아 킴스클럽 앞","1","0"
"2023-07-01","2525.반포쇼핑타운 2동 앞","1","4"
"2023-07-01","2527.반포중학교 앞(세화여고 맞은편)","1","0"
"2023-07-01","2538.사평리근린공원","1","0"
"2023-07-01","380. CJ제일제당 앞","0","1"
"2023-07-01","114. 홍대입구역 8번출구 앞","1","1"
"2023-07-01","2717.LG유플러스 마곡사옥","0","2"
"2023-07-01","146. 마포역 2번출구 뒤","1","3"
"2023-07-01","147. 마포역 4번출구 뒤","1","1"
